ai_calls_acceptance_probability,ai_calls_best_offer_probability,ai_calls_count_repeated,ai_calls_offers,ai_calls_pauses,ai_nb_calls,ai_offer,completion_code,feedback_accuracy,feedback_explanation,feedback_understanding,job_id,min_offer,min_offer_dss,min_offer_final,offer,offer_dss,offer_final,prop_time_spent,prop_worker_id,resp_time_spent,resp_worker_id,rowid,status,time_start,time_start_dss,time_stop,time_stop_dss,timestamp,updated,worker_id
0.0782,0.0007,1,20,63,1,50,respNF:f0gai,ai_equal_to_proposer,3,5,REFT11B,50,50,50,25,35,35,49,A31ZL#####6CRY,8,A7SXW#####40R,18,judgeable,1576883185.1363904,1576883193.5217235,1576883193.4074583,1576883203.6738896,2019-12-20 03:41:30.564265,0,
0.706:0.716:0.1363:0.7877,0.8212:0.2681:0.0336:0.3978,5,50:55:40:60,70:22:7:6,4,50,respNF:I4IBo,ai_much_better,2,6,REFT11B,50,50,50,50,50,50,18,A15SJ#####I3B3,13,A3VN7#####NVFQ,19,judgeable,1576883200.3303967,1576883213.6407886,1576883213.5200114,1576883225.849717,2019-12-20 03:41:41.308356,0,
0.1363:0.716:0.706:0.1538,0.0336:0.2681:0.8212:0.0767,5,40:55:50:45,148:47:12:17,4,50,respNF:cP343,ai_slighly_better,4,5,REFT11B,25,50,50,40,50,50,26,A32J0#####D8C0,24,A36U6#####MZ46,20,judgeable,1576883282.9600425,1576883307.012701,1576883306.6396117,1576883359.241007,2019-12-20 03:41:57.588966,0,
0.706:0.1363:0.1538,0.8212:0.0336:0.0767,4,50:40:45,85:21:11,3,50,respNF:D188e,ai_equal_to_proposer,6,4,REFT11B,40,75,75,50,50,50,16,AP9M4#####FYM,5,A1W3Q#####BHWE,21,judgeable,1576883373.0378838,1576883378.5057487,1576883378.3681912,1576883393.1846979,2019-12-20 03:42:02.636925,0,
0.1363:0.706,0.0336:0.8212,2,40:50,73:15,2,50,respNF:cuMNi,ai_equal_to_proposer,2,4,REFT11B,25,50,50,50,50,50,17,ANBWJ#####68T,30,A39EB#####PAFH,22,judgeable,1576883332.7466536,1576883362.7752683,1576883362.5158293,1576883383.2805154,2019-12-20 03:42:41.465096,0,
0.706:0.716:0.1538:0.0899,0.8212:0.2681:0.0767:0.0013,4,50:55:45:30,96:41:26:9,4,50,respNF:NiZuh,ai_much_worse,7,1,REFT11B,50,55,55,50,50,50,17,A1NGI#####YCD9,14,A2E5F#####552,23,judgeable,1576883599.4615579,1576883613.9446602,1576883613.617523,1576883620.723278,2019-12-20 03:42:50.435220,0,
0.0899:0.706,0.0013:0.8212,2,30:50,40:19,2,50,respNF:tRMJO,ai_equal_to_proposer,4,7,REFT11B,45,50,50,30,50,50,14,A342Y#####THWO,16,A2B1X#####NBJM,24,judgeable,1576883714.937001,1576883730.8000228,1576883730.6349888,1576883745.0864217,2019-12-20 03:43:34.040928,0,
0.716:0.1007:0.1538:0.706,0.2681:0.0192:0.0767:0.8212,5,55:35:45:50,128:31:10:12,4,50,respNF:v7Rd0,ai_slighly_better,2,6,REFT11B,10,5,5,55,55,55,48,A1NCW#####AP2K,39,A27GN#####G19C,25,judgeable,1576884055.2038805,1576884094.0063016,1576884093.8688176,1576884109.068371,2019-12-20 03:43:56.465408,0,
0.0069,0.0489,1,0,15,1,50,respNF:vodRj,ai_equal_to_proposer,4,4,REFT11B,50,50,50,0,0,0,7,A2T5N#####NTK2,10,A2FGK#####DFWS,26,judgeable,1576884109.359577,1576884119.632187,1576884119.4753518,1576884140.7496068,2019-12-20 03:44:44.651035,0,
0.0782,0.0007,1,20,51,1,50,respNF:E1qRF,ai_much_worse,6,3,REFT11B,30,35,35,20,20,20,16,ANSS4#####8WM,12,A28P6#####7F9Y,27,judgeable,1576884174.531617,1576884186.9992962,1576884186.7761023,1576884205.4366899,2019-12-20 03:45:03.568715,0,
