ai_calls_acceptance_probability,ai_calls_best_offer_probability,ai_calls_count_repeated,ai_calls_offers,ai_calls_pauses,ai_nb_calls,ai_offer,completion_code,feedback_accuracy,feedback_alternative,feedback_explanation,feedback_understanding,job_id,min_offer,min_offer_dss,min_offer_final,model_type,offer,offer_dss,offer_final,prop_time_spent,prop_time_spent_dss,prop_worker_id,resp_rowid,resp_time_spent,resp_worker_id,timestamp,worker_id
0.706,0.8212,1,50,78,1,50,prop:USsuT,ai_equal_to_proposer,1,3,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,20,25,25,real,50,50,50,15,86,A2RJL#####6WQA,76,7,A1E49#####OPQS,2019-12-20 04:13:44.506281,A2RJL#####6WQA
0.0782,0.0007,1,20,16,1,50,prop:QUZDx,ai_slighly_better,5,5,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,20,20,20,real,60,35,35,10,12,A1CSH#####SFWL,79,13,A2FE6#####XIJ5,2019-12-20 04:14:03.078740,A1CSH#####SFWL
0.706,0.8212,1,50,28,1,50,prop:H8h0I,ai_equal_to_proposer,2,5,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,25,100,100,real,50,50,50,14,22,A229S#####QRK5,78,4,A1GCG#####K1UP,2019-12-20 04:14:08.396859,A229S#####QRK5
0.0899:0.706,0.0013:0.8212,2,30:50,14:3,2,50,prop:U4oqJ,ai_equal_to_proposer,4,1,7,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,30,30,30,real,0,50,50,6,18,AOIR8#####MH5,80,17,A2KOV#####SVYC,2019-12-20 04:16:14.426695,AOIR8#####MH5
0.7877,0.3978,1,60,50,1,50,prop:rNJOL,ai_slighly_better,6,3,4,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,25,25,real,30,40,40,21,48,AC16J#####0LE,82,18,ADBLH#####EQO,2019-12-20 04:18:29.112653,AC16J#####0LE
0.706:0.1363,0.8212:0.0336,2,50:40,71:15,2,50,prop:n1fkI,ai_slighly_better,1,3,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,100,100,100,real,50,50,50,19,76,AZY2R#####GMC,81,16,A20VH#####RUVS,2019-12-20 04:18:59.600851,AZY2R#####GMC
,,0,,,0,50,prop:61tuz,ai_slighly_better,5,5,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,60,60,60,real,50,50,50,16,73,A1580#####M44G,83,41,A25IP#####UE9R,2019-12-20 04:19:54.387478,A1580#####M44G
0.1363:0.706,0.0336:0.8212,2,40:50,46:11,2,50,prop:V1A2E,ai_slighly_better,1,7,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,30,30,30,real,50,50,50,10,54,A3HHD#####3O7Y,84,8,A1J8T#####C70W,2019-12-20 04:20:44.651066,A3HHD#####3O7Y
0.706,0.8212,1,50,44,1,50,prop:OSRnC,ai_equal_to_proposer,1,7,7,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,40,40,real,50,50,50,11,48,A2V67#####HNDA,86,7,A23KA#####VGOE,2019-12-20 04:22:06.563071,A2V67#####HNDA
0.706:0.9387:0.1363:0.716:0.7877:0.1538,0.8212:0.0316:0.0336:0.2681:0.3978:0.0767,7,50:80:40:55:60:45,58:12:9:5:6:7,6,50,prop:LLTYw,ai_equal_to_proposer,2,2,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,50,50,real,50,50,50,11,121,AF18O#####GP2,85,12,A36IY#####O4HE,2019-12-20 04:23:12.537854,AF18O#####GP2
1.0,0.0501,1,100,23,1,50,prop:FGEX4,ai_slighly_better,5,4,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,45,45,real,100,50,50,10,24,A1FL1#####7PZY,89,12,AK4P9#####DQF,2019-12-20 04:23:22.569726,A1FL1#####7PZY
0.706,0.8212,1,50,26,1,50,prop:rnT6I,ai_equal_to_proposer,6,3,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,40,40,real,50,50,50,12,24,A12NO#####REXA,88,8,AK6M0#####QQH,2019-12-20 04:23:39.157245,A12NO#####REXA
0.9277:0.7877:0.706,0.0528:0.3978:0.8212,4,75:60:50,59:26:20,3,50,prop:We5Ff,ai_slighly_better,3,2,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,10,10,10,real,50,50,50,13,102,AYIFH#####J6B,87,14,A3Q1E#####K41P,2019-12-20 04:23:49.891544,AYIFH#####J6B
0.1538,0.0767,1,45,20,1,50,prop:AyPRQ,ai_sligthly_worse,2,6,3,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,50,50,real,50,50,50,6,36,A37EV#####WT8E,90,7,A3P7Q#####ED2Z,2019-12-20 04:24:19.374089,A37EV#####WT8E
0.1363:0.083:0.9277:0.706,0.0336:0.0007:0.0528:0.8212,4,40:25:75:50,55:8:11:7,4,50,prop:7lFKt,ai_better,1,2,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,25,25,25,real,50,50,50,16,72,A25BR#####0P0A,91,15,A2NYP#####TWQ,2019-12-20 04:27:08.364365,A25BR#####0P0A
0.706,0.8212,1,50,41,1,50,prop:YWWrH,ai_better,2,2,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,40,40,40,real,50,50,50,23,25,A6D5C#####745,92,11,A1JJY#####GE5L,2019-12-20 04:28:18.336391,A6D5C#####745
0.083,0.0007,1,25,23,1,50,prop:iDjTW,ai_equal_to_proposer,3,4,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,50,50,real,25,40,40,14,18,AKZL9#####YCH,94,22,AOOGC#####WJ2,2019-12-20 04:28:41.390603,AKZL9#####YCH
0.706,0.8212,1,50,55,1,50,prop:pAe8E,ai_equal_to_proposer,4,4,4,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,5,100,100,real,100,60,60,24,50,A2R9F#####1YV6,95,16,A1QWY#####9DG1,2019-12-20 04:29:33.429864,A2R9F#####1YV6
0.9277,0.0528,1,75,79,1,50,prop:aiYx1,ai_much_worse,1,4,4,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,40,40,40,real,50,65,65,27,80,A14TU#####1VAI,93,12,A1YX7#####MKPS,2019-12-20 04:30:23.723490,A14TU#####1VAI
0.706,0.8212,1,50,47,1,50,prop:zXSP0,ai_equal_to_proposer,3,3,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,40,50,50,real,50,50,50,28,31,A1Z0J#####9FJK,96,13,A3822#####LIB2,2019-12-20 04:33:01.005941,A1Z0J#####9FJK
0.7877,0.3978,1,60,23,1,50,prop:ASqTr,ai_better,4,5,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,40,40,40,real,40,70,70,7,20,A3E8N#####EWXW,97,14,ARCCE#####E44,2019-12-20 04:38:49.473081,A3E8N#####EWXW
0.706,0.8212,2,50,23,1,50,prop:CS7Ni,ai_slighly_better,4,2,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,40,40,40,real,50,50,50,10,46,A11WC#####5VZP,99,7,A1JTW#####VHVS,2019-12-20 04:55:59.764513,A11WC#####5VZP
0.0782,0.0007,1,20,116,1,50,prop:Nk1Ls,ai_better,4,5,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,50,50,real,30,65,65,107,13,A1JP8#####3R4U,98,10,ATGO5#####8KM,2019-12-20 04:56:03.308870,A1JP8#####3R4U
,,0,,,0,50,prop:AUOOA,ai_equal_to_proposer,4,4,3,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,50,50,real,25,15,15,22,20,AOSIW#####YUP,101,20,A2L26#####EDP6,2019-12-20 05:06:04.237926,AOSIW#####YUP
0.083:0.706,0.0007:0.8212,2,25:50,55:10,2,50,prop:Gv5a8,ai_equal_to_proposer,1,4,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,55,55,55,real,50,50,50,10,65,A2A5H#####8TRU,103,16,A2N8F#####33KF,2019-12-20 05:08:31.963632,A2A5H#####8TRU
0.706,0.8212,1,50,33,1,50,prop:ADj3P,ai_better,7,6,7,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,50,50,real,50,50,50,17,25,AP9NO#####RWI,104,8,A1K5I#####39M5,2019-12-20 05:15:29.984886,AP9NO#####RWI
1.0,0.0501,1,100,112,1,50,prop:XTW2v,ai_better,3,6,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,50,50,real,100,50,50,55,72,A29KL#####N4CK,100,5,A2ZNO#####KY8Q,2019-12-20 05:16:30.928900,A29KL#####N4CK
0.083,0.0007,1,25,55,1,50,prop:JtnVX,ai_worse,7,5,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,25,25,25,real,50,50,50,34,31,AJXIC#####76P,102,14,A1UD8#####4GW0,2019-12-20 07:02:07.886205,AJXIC#####76P
0.706:0.1538:0.716,0.8212:0.0767:0.2681,3,50:45:55,46:11:7,3,50,prop:Rxli3,ai_equal_to_proposer,4,3,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,50,50,real,50,50,50,12,62,A379B#####ITYE,105,9,A1IHS#####S0QP,2019-12-20 07:15:17.742747,A379B#####ITYE
