,assignment_id,job_id,worker_code,worker_id
60,3MMN5BL1W3AJ07QGR05G0CW7OLZM3Q,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:gM3uv,A379F#####3SVU
61,3Q8GYXHFET89501TSUZVCDPF83OC5Q,33KGGVH25XNWYWDCS1O4YG2KZNQX12,dropped,A3JNS#####X3D7
62,3A0EX8ZRNCUOXJJ7PW8XCQHQLNRYBK,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:pxcsx,A320Q#####UOZO
63,33LK57MYLXBNJVAEW4WBGM0SV5HSZ6,33KGGVH25XNWYWDCS1O4YG2KZNQX12,dropped,A3SCS#####P3LB
64,3IAEQB9FMIQDNBMRORHFMJKAD03DW7,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:mTN0e,A3IE3#####XFGN
65,3IXQG4FA2X49WIBZHKGHD9OZCE99B9,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:xvdYT,A1EN3#####SXQQ
66,3TU5ZICBRH7WMJUEVA7T82ONE8QQ8B,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:dhikR,A14WL#####EKO0
67,3GA6AFUKOSUX8TP503P387OB7Z3H3F,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:5TN98,A2XQ3#####ZNYB
68,379J5II41SM24NOSG8LXJQLFF52ELA,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:pKgFx,A25KG#####OAOJ
69,3LBXNTKX0V1G9LE0MG8Z26FRVHX9XI,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:PhB4d,ASVRL#####UD9
70,38F71OA9GX2EGJ69BV6I1LL4RB8MF3,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:0CvNc,A1CE3#####PXSS
71,3S96KQ6I9QALVUIXTMC4ZZDB96FTDR,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:xbUpI,A3RVX#####ATQ
72,337RC3OW098J6YAEBYA7JU91F05VLX,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:vO1fp,A2N9U#####DQ9F
73,33PPO7FECZLVMG2MZAD0LSB2YP8DI3,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:ghe9D,A2IP3#####V8M9
74,3Q8GYXHFET89501TSUZVCDPF83OC5Q,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:KWB8Q,A3A82#####Q2CV
75,3F0BG9B9MTT1V7GHCFWH7OVU2X27Y9,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:XGTtM,A1WL3#####EOWP
76,3Y4W8Q93L3Q08MMMYHCJ0H1W6RWVDA,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:XLFG2,A1Q4Z#####7K6I
77,3XIQGXAUMGECV2Q77JAFOAOL0RB7X6,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:AdR20,A2287#####EZ56
78,3COPXFW7XFIVH8V04MP7Y2744C3KP2,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:nY6FC,AXY0D#####E2A
79,3WLEIWSYHSN8NBTMW3BYPXJJ1L4H25,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:OxQbr,AB5T5#####D47
80,3X66WABAJ0OJ8XUUGX7LN7CASZPG3E,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:7UEPu,A2Y5I#####FR8H
81,3SNVL38CI8YCNJMWZH31E28X5TJKCJ,33KGGVH25XNWYWDCS1O4YG2KZNQX12,dropped,AWVIO#####NVU
82,3U0SRXB7CHBH1RWIERLCVPONZPXNR3,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:2l0PP,A2QNV#####UVMU
83,3FIJLY1B6YAK1M3M3BYAIPFZWGIFPR,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:OTf18,A25R2#####Q1OW
84,3OJSZ2ATDW23TJ6X1DRKWRX17S557Y,33KGGVH25XNWYWDCS1O4YG2KZNQX12,dropped,A3T28#####TOIZ
85,3DH6GAKTY2VKFHMNVAO0Y8OTCQDZYR,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:V0XMI,AWCET#####7N4
86,39N5ACM9HITB0CC90PYI8TTOTIP9PV,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:XZ4Sv,A13FU#####LBUY
87,3EQHHY4HQWYMMCHYUGVE24AU6VPG5D,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:Tx3oO,A16RL#####18F5
88,3FPRZHYEP2D2QUKP5S67N8FKFEMV3R,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:XGJLA,A2NY4#####7O1C
89,3TS1AR6UQUKVVGZM7P4TI3OEWMMF7U,33KGGVH25XNWYWDCS1O4YG2KZNQX12,dropped,A3MCG#####EZR8
90,3ERMJ6L4D2Y11QR3TC86DT8NTNY7MT,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:sXjHO,A2LV5#####1S39
91,3U5JL4WY5OFFCF8O5LC8LY4B9PRX4I,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:MKjUH,AS4E9#####O5Z
92,3LWJHTCVCGS51Y413ODZIU591CEFQS,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:e6S2X,A2UZT#####UBGE
93,3VHHR074H7NHV89IT07RDGTYTI87LR,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:0PYqz,A3BLJ#####ZC9U
94,3MX2NQ3YCD0X8YCOJQVIQQAP9LM5XV,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:YgCBh,A59L6#####C3V
95,35LDD5557EAPW5YNC6XFHYD9Z7ZKMD,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:GeEES,A1B14#####7008
96,32KTQ2V7RHL5F9FW896QRPZTODN9M8,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:dufoP,A17FG#####9RZA
97,386CSBG1O3S9I5BQ2VAVOOSW8DC6QH,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:COgSz,A2BRZ#####AVER
98,39DD6S19JTHM9C5WV9C6R5WDUEJZEN,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:ZX6lI,A2QG8#####6F9P
99,3FIJLY1B6YAK1M3M3BYAIPFZWGLFPU,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:f8wdt,A128D#####4LOJ
100,3AQF3RZ55COCRGLHOFZ1CPOI1B2F6V,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:dfcCn,A3G6L#####KR7F
101,3VHP9MDGRRQ17XUIY6C4YPGSXXDCFK,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:3naqN,A2DZ1#####LUVY
102,3MHW492WW4J3CGSZBABMJ7OQF59VMD,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:tiM8v,A3P42#####PWIB
103,33CKWXB73NQQUFQCBA8ZSRT7SQ911O,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:wCH9U,ABUF5#####JQO
104,36DSNE9QZ94ILODH71CG8N21FIIJOW,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:qMnuI,A2NI2#####FE1S
105,34X6J5FLPX4L60QXME4KXSX1UJ0JQ4,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:qGCvT,A1R9Z#####DXLM
106,3I0BTBYZA1RNDWGXRGB8S9L7UJC0YI,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:MsOUo,A2XQ3#####T2ZQ
107,37ZHEEHM60S0F4JTNU3RHUZHTWN73J,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:RyKc8,A1NB2#####7JEG
108,3VA45EW49RTBQ7XDHC6A4N6FL1JO1Y,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:NDGRH,A1EPE#####9XO2
109,39DD6S19JTHM9C5WV9C6R5WDUEPZET,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:JQjd8,A26VF#####XWSX
110,3LJ7UR74RLJA0LUK3FPZNWDD7BO4NC,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:1K1iD,A1P47#####LQ6P
111,37Z929RLGDERXJ1FQC7TUYZBA9CTS8,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:YzMat,A2FOU#####HIE0
112,3P1L2B7AD5VOGE1HAMOTO2FTJ7NLO0,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:ESXCU,A3BHR#####X3GO
113,3W92K5RLWYN5497TJBU025D4TAKV5O,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:otiuH,A30PN#####8SKY
114,3N4BPTXIOCY89D3WL8O188U3CT6UKJ,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:01MMq,AR8MB#####NDR
115,3EA3QWIZ4M1235YJL0DFQWTO1BBTIH,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:uyCnt,A2QPM#####LUW2
116,3IHR8NYAMB7A366XJU2RRLI87QP4P8,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:Rahom,A38DH#####8DL8
117,30LSNF239Y18J6462LTJP9KY1YY2IY,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:UZRiv,AM4RU#####E8L
118,3KRVW3HTZRRNKOBVHF6H8K4JG1GMS0,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:CKtHb,A1C2T#####HE39
119,373ERPL3YSEFW412BN7O4OUFO7TTRK,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:Jb7HZ,AMELY#####KB0
120,3TESA3PJ35GKMTYQXIAVWB5DOCYMMO,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:vl2KT,A1YCG#####CNBH
121,30ZX6P7VFC14EHOCK3EJ1AZYEDN2JA,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:Ae9Pr,A156M#####XMR2
122,3300DTYQT6NDVK458DTT0CK9PB5EQF,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:C4ak6,A1UZY#####SQ1P
123,3QIYRE09Y7NT8MX1GX6XPY6AVRF1NX,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:YP8LW,AIK9I#####848
124,3IJXV6UZ11PPNQLRHB8KQHS6DQDRI1,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:6vn0Z,A1ATL#####FW4V
125,3OVR4I9USTPV3I7CJ7HGRQ8ICMB4QZ,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:zNfZ1,A3HQX#####KT4F
126,3SNLUL3WO8TJTJLE6802N87I1TBULM,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:XIOlX,AOTSR#####XS1
127,38F5OAUN5RIF9CQS2FSTLO0RC167HR,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:dxQOr,A8RAY#####BQD
128,3MAOD8E57UG1YNIUNQR4K7AB06SXNJ,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:gK72U,A1YFR#####JYUN
129,33LKR6A5KIQR3Z2LDTS9YXC2K911TY,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:l2t2w,A3P6C#####UX43
130,3BEFOD78WAZ4I39KREAZAHOD2LE4MC,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:FORoP,A228Y#####B7J2
131,3RWE2M8QWLGT1XCJKE2XBTN0QZ90NT,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:n6Lb1,A5LUU#####O8K
132,32VNZTT0ABAVFJMCWM6GWGIN88D4R0,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:Yalsn,A3J37#####IYDR
133,30X31N5D67WMIN26KCGCZT9JMKTAS6,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:ca3Pd,A1AJM#####YOAN
134,36TFCYNS48G9ORWJKSWRFNDFEUKXHB,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:KVo2M,ATK8J#####XTT
135,3U0SRXB7CHBH1RWIERLCVPONZP8RNI,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:5XcqJ,A1OIB#####4R5K
136,3G2UL9A02HKZCN6B6W1POXB13NQ76Q,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:fxzAr,AQKN1#####C29
137,3634BBTX0S0SK0GIQG8Q9SENA24IFZ,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:eEHl6,A2VA7#####NEM1
138,35LDD5557EAPW5YNC6XFHYD9Z73MKJ,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:EUv1M,A3TQU#####YUUE
139,3WJEQKOXAC8MO33C7T1S3SMAWKG1AD,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:jKNuo,A23HZ#####K2DA
140,3E7TUJ2EGGS2BF9JVG7N8ZCZFZ2D91,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,dropped,A3HAE#####PT6A
141,31EUONYN2Z9RCJDBOQQZBBDVA5ROVO,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:zANAG,A25CZ#####F4UV
142,37TRT2X24UXY2UO83W7U23228J2BJN,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:FsEBK,A1I3Q#####ACFR
143,3X3OR7WPZ36LVME135ZXRGPT42ML80,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:IBjin,A37AL#####LQQ3
144,3QILPRALQ91BJMHMFIFC48TI9XLN83,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:YneqM,A2R0Y#####Z30S
145,3RRCEFRB7QI8ZC5N0PKQW1DJQMB4BO,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:mj8R6,A39VR#####589F
146,3IGI0VL64BQE4E42MZ481UJIO2QNO7,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:U1A25,A20JF#####42HB
147,33CUSNVVNRIQGFUI9GQTMB3NK2N881,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:VOgqU,A3DUP#####9W5R
148,35K3O9HUAFJG4VEWUXIZODGVI9VEFK,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:Wllce,A4J4G#####8L0
149,3JAOYWH7VMAL9RXB8X5BRCK4O84L9P,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:veXjR,AJQGW#####T4Y
150,3QY5DC2MXVQXTRBIKXX4SV2Y4XSFU5,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:99Rj0,AYYSG#####U15
151,3OVR4I9USTPV3I7CJ7HGRQ8ICMC4Q0,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:C4OFV,A2XHD#####A5Z6
152,36NEMU28XJJGR5S41KGI5974MEFMWI,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:sJF4F,A28J7#####9DC3
153,31HQ4X3T3WG3E6TAH35287PUGWQLSX,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:Mc0jB,A36UN#####D99W
154,3K9FOBBF2LP6YT1597OG9DFOTXLNLQ,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:KnAxf,A225S#####9EIU
155,3Z7VU45IP2NNPBBKJLHRKLDJ55MZ1B,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:T4E1K,A36KZ#####GRYW
156,384PI804XW7QHA4OSAJJANX6DYJ0S7,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:fcfui,A1SXC#####IYL2
157,31LVTDXBLBGRDRTX2E5XIXKYUU7LR9,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:pRQ9n,A38ZV#####34IZ
158,3L70J4KAZKSGGYJONMLN4UNJLHKDAG,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:f26wf,A1YT9#####EGX1
159,3ZSANO2JCJDHEEJEVS24DUKAJ05FSN,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:xqtvJ,AO32G#####YY7
160,3QAVNHZ3EQAZEA7G03JBN7VOUQMLA4,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:2we2S,A1SWV#####25S1
161,37FMASSAYGX27J42LEMUQ2N2V4DBIB,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:HvwBA,A1LUQ#####MYNI
162,34V1S5K3GW73Q6U4LTZ92T27YDF692,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:dX3R9,A2G4L#####Z28Y
163,3BEFOD78WAZ4I39KREAZAHOD2LEM4U,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:RW9eU,AMIQG#####YO4
164,3DHE4R9OC0HUNFYBCXTG4X7IML8G2M,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:uik3d,AAO2L#####Y1J
165,3YJ6NA41JFM06OPIM1PVXN7RPNEJPD,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,dropped,A6FFQ#####0SC
166,3U8YCDAGXTME4UPB06UEFNI5VAYQ08,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:v88es,A3DDY#####LJW
167,37Z929RLGDERXJ1FQC7TUYZBA9FSTA,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:yBoOw,A2C7W#####HKCS
168,30IQTZXKAOCYDRQNMKP69VEYSDM0XG,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:xR9y3,A3D6V#####QF3D
169,3N2BF7Y2VU0YUFXF6LUI46XH7QZMHF,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:e3Eib,A1JQ2#####97R3
170,3G2UL9A02HKZCN6B6W1POXB13NT67S,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:nI4MV,AMLE1#####VL8
171,369J354OFHGI5GHCZZ5JUAOU2QC6GV,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:FJu9P,A1X2J#####AVX
172,3Y4W8Q93L3Q08MMMYHCJ0H1W6RNDVJ,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:c6ma7,AU2NV#####49C
