job_id,q1,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q2,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q3,q30,q4,q5,q6,q7,q8,q9,ras_assertiveness,ras_q1,ras_q10,ras_q11,ras_q12,ras_q13,ras_q14,ras_q15,ras_q16,ras_q17,ras_q18,ras_q19,ras_q2,ras_q20,ras_q21,ras_q22,ras_q23,ras_q24,ras_q25,ras_q26,ras_q27,ras_q28,ras_q29,ras_q3,ras_q30,ras_q4,ras_q5,ras_q6,ras_q7,ras_q8,ras_q9,ras_time_spent,time_spent,time_start,time_stop,timestamp,worker_bonus,worker_id
3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,-1,3,-1,2,-2,3,-1,3,2,-1,2,-1,-1,2,-2,2,-2,-2,-2,-2,-2,-1,-2,-1,-1,3,-2,-1,-3,3,-22,-1,3,-1,2,-2,3,-1,3,2,-1,2,-1,-1,2,-2,2,-2,-2,-2,-2,-2,-1,-2,-1,-1,3,-2,-1,-3,3,146,146,1571343583.8085818,1571343730.0052955,2019-10-17 22:22:10.147216,0,A15FX#####NW31
3S4TINXCD3TAHLHCT7UXLFO09VBBOT,-3,-1,-3,-3,-3,-3,-3,-3,-3,3,-3,-3,3,3,3,-3,-3,3,-3,3,3,3,3,-3,-3,-3,1,3,-1,-2,79,-3,-1,-3,-3,-3,-3,-3,-3,-3,3,-3,-3,3,3,3,-3,-3,3,-3,3,3,3,3,-3,-3,-3,1,3,-1,-2,159,159,1571346319.9102626,1571346478.6378272,2019-10-17 23:07:58.839716,0,A1DIW#####9CMO
3S4TINXCD3TAHLHCT7UXLFO09VBBOT,-1,2,-2,-2,-1,1,-2,2,3,1,-1,-3,1,3,-1,-1,-3,2,-3,-1,1,1,1,-1,-1,-1,-1,3,2,2,28,-1,2,-2,-2,-1,1,-2,2,3,1,-1,-3,1,3,-1,-1,-3,2,-3,-1,1,1,1,-1,-1,-1,-1,3,2,2,223,223,1571347559.32949,1571347782.1385608,2019-10-17 23:29:42.431176,0,A297O#####0XS3
3S4TINXCD3TAHLHCT7UXLFO09VBBOT,1,1,1,2,1,2,-2,-1,-1,1,-1,-2,2,2,1,1,-1,1,-1,1,1,1,1,-1,-2,-1,-1,2,-1,2,15,1,1,1,2,1,2,-2,-1,-1,1,-1,-2,2,2,1,1,-1,1,-1,1,1,1,1,-1,-2,-1,-1,2,-1,2,295,295,1571347934.277961,1571348228.8925028,2019-10-17 23:37:09.126320,0,A3LVL#####1ZD7
33KGGVH25XNWYWDCS1O4YG2KZNQX12,1,-2,-1,3,-3,3,1,2,3,1,1,-1,-3,-1,-1,2,-2,2,-1,1,-2,-2,2,3,-1,3,-3,-1,-2,2,-26,1,-2,-1,3,-3,3,1,2,3,1,1,-1,-3,-1,-1,2,-2,2,-1,1,-2,-2,2,3,-1,3,-3,-1,-2,2,151,151,1571349681.1253574,1571349831.8596048,2019-10-18 00:03:52.031616,0,A1FYW#####KN1O
33KGGVH25XNWYWDCS1O4YG2KZNQX12,3,-3,3,3,3,3,3,3,3,3,-2,3,-3,-3,-3,3,-3,-1,3,3,-3,-3,3,3,3,1,-3,-2,-3,1,-54,3,-3,3,3,3,3,3,3,3,3,-2,3,-3,-3,-3,3,-3,-1,3,3,-3,-3,3,3,3,1,-3,-2,-3,1,133,133,1571349701.719702,1571349834.884955,2019-10-18 00:03:55.109737,0,APB33#####EWK
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-2,3,-2,3,-2,3,3,3,3,3,-2,-3,3,3,-1,3,-3,2,-2,2,2,3,1,-2,2,3,-2,3,1,2,16,-2,3,-2,3,-2,3,3,3,3,3,-2,-3,3,3,-1,3,-3,2,-2,2,2,3,1,-2,2,3,-2,3,1,2,75,75,1571349799.3018296,1571349874.4688246,2019-10-18 00:04:34.675624,0,A2NA2#####COZY
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-1,-1,-1,-2,-1,-1,-1,1,1,-1,-2,1,-1,1,1,2,-1,-2,-1,1,2,-2,1,1,-1,-1,1,1,2,1,9,-1,-1,-1,-2,-1,-1,-1,1,1,-1,-2,1,-1,1,1,2,-1,-2,-1,1,2,-2,1,1,-1,-1,1,1,2,1,55,55,1571350032.765528,1571350087.95422,2019-10-18 00:08:08.171340,0,A1Z8A#####IV43
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-1,1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,1,2,2,-2,-2,2,-2,2,2,2,2,-2,-1,-1,2,1,1,-2,44,-1,1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,1,2,2,-2,-2,2,-2,2,2,2,2,-2,-1,-1,2,1,1,-2,131,131,1571350198.931455,1571350330.0623462,2019-10-18 00:12:10.298435,0,A3RHJ#####GY2U
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-3,2,-2,-3,-3,1,-3,-2,-1,3,-2,-3,3,3,1,-1,-3,3,-3,2,2,3,2,-3,-2,-1,-1,2,-2,-1,58,-3,2,-2,-3,-3,1,-3,-2,-1,3,-2,-3,3,3,1,-1,-3,3,-3,2,2,3,2,-3,-2,-1,-1,2,-2,-1,152,152,1571351008.8098571,1571351160.3124504,2019-10-18 00:26:00.492895,0,A27SR#####XUHM
