ai_calls_acceptance_probability,ai_calls_best_offer_probability,ai_calls_count_repeated,ai_calls_offers,ai_calls_pauses,ai_nb_calls,ai_offer,cc_beta,cc_criterion,cc_false_alarm_avg_click_delay,cc_false_alarm_rate,cc_false_alarms,cc_hit_avg_click_delay,cc_hit_rate,cc_hits,cc_sensitivity,completion_code,cpc_expected_value,cpc_expected_value_max,cpc_expected_value_min,cpc_q1,cpc_q10,cpc_q2,cpc_q3,cpc_q4,cpc_q5,cpc_q6,cpc_q7,cpc_q8,cpc_q9,cpc_time_spent,exp_ultimatum_game_experience,job_id,min_offer,model_type,offer,offer_dss,offer_final,prop_time_spent,prop_worker_id,ras_assertiveness,ras_q1,ras_q10,ras_q11,ras_q12,ras_q13,ras_q14,ras_q15,ras_q16,ras_q17,ras_q18,ras_q19,ras_q2,ras_q20,ras_q21,ras_q22,ras_q23,ras_q24,ras_q25,ras_q26,ras_q27,ras_q28,ras_q29,ras_q3,ras_q30,ras_q4,ras_q5,ras_q6,ras_q7,ras_q8,ras_q9,ras_time_spent,resp_rowid,resp_time_spent,resp_worker_id,risk_expected_value,risk_q1,risk_q2,risk_q3,risk_q4,risk_time_spent,timestamp,worker_id
0.7091,0.7938,1,50,25,1,50,0.7862472003636766,-0.14646590795280967,322.0,0.25,1,291.0,0.8333333333333334,5,1.6419113162977828,,9.9165,14.127,3.6885,7.0,6.5,13.0,30.0,14.565,5.16,14.5,2.015,-9.0,15.425,117,0,34HEO7RUH908VO40FLB5KZ9Z2IARAN,50,real,50,50,50,10,A1TSV#####NTR4,53,-1,1,-2,-3,-2,-3,-2,-2,-3,1,-1,-2,2,2,3,-2,-2,2,-2,2,1,1,2,-2,1,-2,1,1,2,-2,133,1,14,A2W3A#####J861,3.005,1.0499999999999998,1.99,4.0,4.98,74,2019-11-05 22:58:30.564397,A1TSV#####NTR4
0.8947:0.0353:0.0343:0.9838,0.342:0.0028:0.0017:0.0123,8,75:20:15:90,-278:20:290:33,4,50,0.7862472003636766,-0.14646590795280967,285.0,0.25,1,308.0,0.8333333333333334,5,1.6419113162977828,,10.5161,11.307,6.9422,7.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.565,-1.0875,14.8,96,0,34HEO7RUH908VO40FLB5KZ9Z2IARAN,40,real,15,75,75,20,A2K17#####21BG,36,1,-2,-1,1,-2,-3,1,-2,1,-1,-2,2,1,3,3,-2,-3,3,-3,2,3,1,2,-3,1,-3,3,-2,2,-1,413,2,12,AT6LD#####USE,1.82,1.04,1.2000000000000002,2.0,3.04,31,2019-11-05 23:58:42.196765,A2K17#####21BG
0.7091,0.7938,1,50,32,1,50,1.2137316295023657,0.09146390713715341,0.0,0.0,0,310.8,0.8333333333333334,5,2.117770946477709,prop:2RZhL,11.2786,14.467,5.3073,14.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.565,-1.0875,15.425,131,0,34HEO7RUH908VO40FLB5KZ9Z2IARAN,40,real,50,50,50,10,A2JDY#####M5UN,2,1,-1,2,2,2,1,-2,-2,-3,-3,2,3,-1,-1,2,-2,2,-1,-2,1,2,-1,-1,-3,-1,-2,2,-1,1,-2,219,4,20,A26LO#####ZZCO,4.645,1.09,1.99,5.5,10.0,104,2019-11-06 23:48:02.399423,A2JDY#####M5UN
0.2036,0.0759,1,45,31,1,50,1.2137316295023657,0.09146390713715341,0.0,0.0,0,413.4,0.8333333333333334,5,2.117770946477709,prop:REwIB,11.4628,15.852,4.001,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,15.425,70,0,34HEO7RUH908VO40FLB5KZ9Z2IARAN,5,real,45,50,50,20,AEWT7#####L5V,49,-2,2,-3,-3,-2,-3,-3,-2,-3,2,1,-3,2,2,3,-2,-3,-2,-3,1,1,-2,-1,-3,1,-3,2,-1,1,-3,94,3,6,A3C0N#####FTZQ,4.645,1.09,1.99,5.5,10.0,47,2019-11-07 00:51:36.194905,AEWT7#####L5V
0.0054:0.0213,0.0073:0.0009,2,0:5,35:4,2,50,0.7862472003636766,-0.14646590795280967,211.0,0.25,1,295.0,0.8333333333333334,5,1.6419113162977828,prop:HQbTw,11.4502,12.202,7.626,14.0,6.5,13.0,30.0,14.565,5.16,15.0,2.565,-1.0875,14.8,89,20,3M4KL7H8LYTJFHTGREFEY3P023061U,20,real,0,5,5,9,A3UQ9#####VQKR,-61,3,-3,3,3,3,2,2,-1,2,-3,2,3,-1,-1,-2,3,2,-2,3,-1,-2,-2,-3,2,2,3,-1,-2,-2,-1,97,5,5,A1N16#####QEY6,2.2475,1.0,1.0,3.0,3.9899999999999998,35,2019-11-07 01:14:44.139275,A3UQ9#####VQKR
0.7091,0.7938,1,50,41,1,50,0.6262834321863123,-0.4837107830508505,172.0,0.5,2,288.6,0.8333333333333334,5,0.967421566101701,prop:6r3wC,11.0418,11.982,8.5798,14.0,4.1583,13.0,30.0,14.565,3.4167,15.0,2.565,-1.0875,14.8,63,0,3M4KL7H8LYTJFHTGREFEY3P023061U,50,real,50,50,50,12,A200R#####4AJ8,4,-1,2,-3,-3,-3,-3,3,1,-3,-2,2,-2,-2,1,-2,1,2,-3,-2,-3,-3,1,-1,-1,2,-3,2,-3,2,-2,117,7,7,A1XE5#####O5HH,1.3975,1.0,1.08,1.53,1.9800000000000002,47,2019-11-07 01:26:35.759224,A200R#####4AJ8
0.7091,0.7938,1,50,50,1,50,0.48245473974625286,-0.3542521884522782,443.0,0.25,1,380.8333333333333,1.0,6,2.0574838772967197,prop:p1ZBW,8.2966,11.244,2.5662,7.0,4.1583,13.0,10.22,11.525,5.16,15.0,2.565,-1.0875,15.425,130,1,3M4KL7H8LYTJFHTGREFEY3P023061U,5,real,50,50,50,15,A2UP4#####92NV,11,-1,1,2,2,2,-2,-1,-1,1,2,-1,2,1,-1,-1,-3,2,1,2,1,2,-1,1,-2,-2,-3,2,-2,1,-1,241,8,11,A3UEE#####25TS,1.395,0.9900000000000001,1.08,1.53,1.9800000000000002,67,2019-11-07 02:04:14.650700,A2UP4#####92NV
0.1068:0.1805:0.7662:0.1292:0.7091,0.0039:0.0508:0.4424:0.0586:0.7938,6,30:40:60:35:50,33:4:5:12:4,5,50,0.7862472003636766,-0.14646590795280967,243.0,0.25,1,227.6,0.8333333333333334,5,1.6419113162977828,prop:t5qNx,8.28,10.481,5.6123,14.0,4.1583,13.0,10.22,14.565,3.4167,15.0,2.015,-9.0,15.425,83,0,3M4KL7H8LYTJFHTGREFEY3P023061U,30,real,30,50,50,19,A3KQT#####8T1Z,-12,1,-2,1,2,-2,-3,1,3,2,-2,3,1,1,1,1,-1,-1,-2,1,1,1,-1,-2,1,2,-1,2,-2,1,-1,139,9,9,A11C2#####G6JK,2.8875,1.05,1.5,3.0,6.0,28,2019-11-07 21:56:00.910988,A3KQT#####8T1Z
0.0353:0.0887:0.1805:0.1292,0.0028:0.0284:0.0508:0.0586,4,20:25:40:35,33:10:3:3,4,50,1.2554175313546803,0.33724487509804085,298.0,0.25,1,232.66666666666666,0.5,3,0.6744897501960817,prop:PlWnN,9.959,10.467,7.626,7.0,6.5,13.0,30.0,14.565,5.16,15.0,2.565,-9.0,14.8,102,1,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,50,real,25,40,40,13,A4SC8#####GEG,-12,1,-2,-1,1,2,-2,-2,-1,-3,-1,3,1,-1,-1,-2,1,2,-2,1,-1,-3,1,-2,1,-1,-2,2,-2,2,-1,160,12,23,ACRBW#####8F5,2.8425,1.04,1.3299999999999998,3.0,6.0,189,2019-11-08 10:34:05.877963,A4SC8#####GEG
,,0,,,0,50,1.2137316295023657,0.09146390713715341,0.0,0.0,0,334.8,0.8333333333333334,5,2.117770946477709,prop:15Az0,11.3953,12.212,7.3135,14.0,6.5,13.0,30.0,14.565,5.16,15.0,2.015,-1.0875,14.8,95,0,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,50,real,10,30,30,21,A19ZA#####0BKI,-17,2,1,1,1,-1,1,1,2,2,-2,1,3,-2,1,2,-1,1,-1,2,-2,1,-1,1,-1,1,2,1,-1,1,-1,133,13,21,A1OZN#####LC9V,1.7775,0.9900000000000001,1.08,2.0,3.04,26,2019-11-08 10:54:11.247331,A19ZA#####0BKI
0.7091,0.7938,1,50,20,1,50,0.7447665023958179,1.266671753738323,0.0,0.0,0,0.0,0.0,0,-0.2326447467246302,prop:YeO36,10.1669,13.09,5.24,7.0,6.5,13.0,30.0,11.525,3.4167,14.5,2.015,-1.0875,14.8,139,0,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,35,real,50,50,50,7,A12OZ#####1SJI,16,1,1,1,1,1,-1,1,-2,-1,1,1,-1,1,1,3,-1,1,2,-1,2,2,2,1,-1,2,2,1,-1,2,-1,211,14,21,A3U30#####P0J6,1.8525,1.0499999999999998,1.38,3.0,1.9800000000000002,37,2019-11-08 10:57:07.696349,A12OZ#####1SJI
0.7091:0.0054:0.1292:0.2036:0.8732,0.7938:0.0073:0.0586:0.0759:0.0704,6,50:0:35:45:65,22:14:8:10:6,5,50,0.7447665023958179,1.266671753738323,0.0,0.0,0,0.0,0.0,0,-0.2326447467246302,prop:w6YHl,11.4628,15.852,4.001,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,15.425,74,10,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,50,real,50,50,50,9,AFIK3#####6G6,-7,2,1,1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,2,-1,-1,-1,-1,-1,-1,2,2,-1,1,-2,-2,2,145,15,9,A1C7X#####D8JE,3.0,1.0,1.5,3.5,6.0,45,2019-11-08 10:58:22.215034,AFIK3#####6G6
0.7091,0.7938,1,50,24,1,50,0.7447665023958179,1.266671753738323,0.0,0.0,0,0.0,0.0,0,-0.2326447467246302,prop:4TNVr,8.3406,6.676,6.3935,14.0,6.5,2.2333,10.22,14.565,5.16,15.0,2.015,-1.0875,14.8,135,20,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,10,real,50,50,50,12,A3UN1#####KKE6,-21,1,1,2,3,1,2,1,2,-1,1,1,2,2,-2,-1,2,2,1,3,-1,1,-1,1,3,1,-1,1,1,2,3,290,16,14,A2U3H#####QNPE,2.4775,1.08,1.3299999999999998,2.52,4.98,149,2019-11-08 11:41:36.926746,A3UN1#####KKE6
0.1805:0.2036:0.8947:0.0887:0.986:0.972:0.1068:0.8732:0.7091,0.0508:0.0759:0.342:0.0284:0.0732:0.0635:0.0039:0.0704:0.7938,11,40:45:75:25:95:85:30:65:50,32:7:5:2:4:9:4:2:6,9,50,0.7447665023958179,1.266671753738323,0.0,0.0,0,0.0,0.0,0,-0.2326447467246302,prop:hH14v,10.609,12.257,7.136,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-9.0,14.8,30,2,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,40,real,50,50,50,18,A1AEN#####Y9NJ,33,-3,3,-1,3,3,-3,3,-3,-3,-3,3,-3,3,3,3,-3,-3,1,-3,3,-3,-3,3,1,3,-3,3,3,3,-2,452,17,25,AUZPU#####TX5,3.0125,1.05,1.5,3.5,6.0,45,2019-11-08 15:18:48.331654,A1AEN#####Y9NJ
0.7091,0.7938,1,50,22,1,50,1.1441994342256387,0.12188122545031213,360.0,0.25,1,414.25,0.6666666666666666,4,1.1052170494915392,prop:epkCC,7.4064,5.781,5.7098,7.0,4.1583,2.2333,10.22,14.565,5.16,15.0,2.015,-1.0875,14.8,28,0,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,100,real,50,50,50,12,AL2JY#####Z2H,-4,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,71,18,12,A2KBT#####J7X4,4.645,1.09,1.99,5.5,10.0,41,2019-11-08 16:56:19.800539,AL2JY#####Z2H
0.0353,0.0028,1,20,31,1,50,0.7447665023958179,1.266671753738323,0.0,0.0,0,0.0,0.0,0,-0.2326447467246302,prop:idR63,10.609,12.257,7.136,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-9.0,14.8,111,1,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,30,real,25,25,25,22,A3BXT#####C6F3,12,2,2,1,-1,1,-1,-1,-1,-3,-1,-1,1,-1,2,2,-1,1,1,-2,-1,-1,1,1,1,1,-2,1,-1,3,1,128,19,176,A3C2X#####NNLV,4.645,1.09,1.99,5.5,10.0,23,2019-11-08 17:46:32.171415,A3BXT#####C6F3
0.0213:0.1292:0.986:0.7091,0.0009:0.0586:0.0732:0.7938,5,5:35:95:50,51:23:4:3,4,50,1.2137316295023657,0.09146390713715341,0.0,0.0,0,372.8,0.8333333333333334,5,2.117770946477709,prop:iOZxM,6.9831,6.159,5.9388,7.0,4.1583,2.2333,10.22,11.525,3.4167,15.0,2.565,-1.0875,14.8,46,10,3ICOHX7EOFHNL71D1DUCWMY3EAAE0E,50,real,5,5,5,38,A3NMU#####ZCNC,-45,2,-3,2,2,3,1,2,3,-2,-2,2,2,1,1,1,2,1,-1,2,-2,-2,-1,-1,3,3,2,-1,-2,-2,1,109,20,5,A39XI#####NHFU,1.395,0.9900000000000001,1.08,1.53,1.9800000000000002,20,2019-11-08 18:45:20.864974,A3NMU#####ZCNC
0.7091,0.7938,1,50,44,1,50,0.7862472003636766,-0.14646590795280967,50.0,0.25,1,352.6,0.8333333333333334,5,1.6419113162977828,prop:nlU2V,11.1661,13.097,6.4523,14.0,4.1583,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,14.8,94,5,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,real,50,50,50,15,A36DK#####J942,-76,2,-3,3,3,3,3,3,3,3,-3,3,3,-3,-3,-2,2,3,-3,3,-3,-2,-3,-3,3,3,2,-1,1,-1,2,115,21,6,A2GG7#####IXUR,2.595,1.02,1.38,3.0,4.98,42,2019-11-08 22:41:23.451910,A36DK#####J942
0.0887:0.1292:0.8947:0.1805,0.0284:0.0586:0.342:0.0508,4,25:35:75:40,41:4:7:9,4,50,1.2137316295023657,0.09146390713715341,0.0,0.0,0,316.8,0.8333333333333334,5,2.117770946477709,prop:tVfsa,10.6715,14.767,4.751,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-9.0,15.425,75,1,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,real,40,40,40,24,A2WVC#####YGML,39,-3,-3,-3,-3,-3,-3,-3,-2,-1,-1,2,-3,-2,-3,3,-3,3,-1,-3,3,3,2,-2,-2,-2,-3,2,1,2,-3,179,22,7,A26NG#####ATVN,1.0,1.0,1.0,1.0,1.0,30,2019-11-08 22:45:33.636798,A2WVC#####YGML
0.7091:0.1805,0.7938:0.0508,2,50:40,20:9,2,50,0.7447665023958179,-0.1163223733623151,0.0,0.0,0,308.6666666666667,1.0,6,2.533343507476646,prop:fZ4Tb,9.4722,9.266,6.606,14.0,6.5,13.0,10.22,14.565,5.16,15.0,2.565,-1.0875,14.8,74,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,real,50,50,50,8,A219Y#####4TM2,-28,3,-3,1,3,3,-3,-1,2,-3,-3,-2,3,-2,3,-2,-2,2,-2,3,-2,-3,-2,-2,2,2,-3,2,-3,-1,-2,138,23,8,A270H#####LJ8W,4.645,1.09,1.99,5.5,10.0,35,2019-11-08 22:47:44.669670,A219Y#####4TM2
0.7091:0.2036:0.7187,0.7938:0.0759:0.182,4,50:45:55,43:13:8,3,50,0.7447665023958179,-0.1163223733623151,0.0,0.0,0,305.8333333333333,1.0,6,2.533343507476646,prop:a7wMK,7.331,10.184,4.2038,7.0,4.1583,13.0,10.22,11.525,3.4167,15.0,2.565,-9.0,15.425,47,2,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,real,50,50,50,13,A3M8U#####JPDF,43,-1,1,-2,-2,-2,-3,-2,-2,-3,1,-2,-2,1,3,2,-2,-2,-1,-2,2,1,1,2,-2,1,-2,-1,-3,2,-2,102,24,4,AOWW3#####J6U,4.645,1.09,1.99,5.5,10.0,23,2019-11-08 23:00:29.191596,A3M8U#####JPDF
0.7091,0.7938,1,50,13,1,50,1.2137316295023657,0.09146390713715341,0.0,0.0,0,295.4,0.8333333333333334,5,2.117770946477709,prop:mqBN0,10.4248,10.872,8.4422,14.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.565,-9.0,14.8,70,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,real,50,50,50,7,A2CJY#####7HN6,-29,1,-2,2,3,3,1,1,2,-1,-2,3,1,-1,-1,1,1,1,-2,-2,-2,1,-1,-2,1,-1,1,-1,-1,-1,-2,113,25,7,A3I0I#####KFFZ,4.645,1.09,1.99,5.5,10.0,31,2019-11-08 23:00:54.097374,A2CJY#####7HN6
0.1805:0.7091,0.0508:0.7938,2,40:50,35:12,2,50,1.2137316295023657,0.09146390713715341,0.0,0.0,0,369.0,0.8333333333333334,5,2.117770946477709,prop:fBspF,10.4248,10.872,8.4422,14.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.565,-9.0,14.8,152,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,25,real,50,50,50,15,A3UDU#####D833,25,1,-1,1,-2,1,-3,-1,1,-3,-1,-1,-1,2,2,2,-1,2,1,-1,1,2,1,2,-1,1,-2,2,-1,2,-2,207,26,15,AMARS#####3TG,3.925,1.0,1.2000000000000002,3.5,10.0,102,2019-11-08 23:05:43.812139,A3UDU#####D833
0.7091,0.7938,1,50,31,1,50,0.6262834321863123,0.4837107830508505,223.0,0.5,2,162.0,0.16666666666666666,1,-0.967421566101701,prop:2iMNr,9.9952,15.355,2.9212,7.0,4.1583,13.0,30.0,11.525,3.4167,14.5,2.015,-1.0875,15.425,12,3,3NBFJK3IPKO682PN9TMBMQFXPULGO5,25,real,50,50,50,13,A3LCU#####I8HC,1,3,-2,-2,3,2,3,2,3,2,2,-2,1,-2,3,2,3,2,-1,-2,-1,3,2,2,-3,-2,-3,2,3,1,3,14,27,5,A3JLE#####17E2,2.2275,1.05,1.38,4.5,1.9800000000000002,4,2019-11-08 23:06:25.070343,A3LCU#####I8HC
0.7091,0.7938,1,50,31,1,50,1.1441994342256387,0.12188122545031213,203.0,0.25,1,348.25,0.6666666666666666,4,1.1052170494915392,prop:XcaoI,8.1791,8.744,4.6388,7.0,4.1583,13.0,10.22,11.525,5.16,15.0,2.015,-1.0875,14.8,41,16,3NBFJK3IPKO682PN9TMBMQFXPULGO5,5,real,50,50,50,16,AZ8JL#####Y4U,-9,-1,-3,3,3,3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,3,3,3,3,-3,-3,-3,3,-3,-3,2,-3,3,-3,102,28,9,A2F2D#####U4AK,2.2225,1.0499999999999998,1.3299999999999998,2.52,3.9899999999999998,37,2019-11-08 23:13:36.884516,AZ8JL#####Y4U
